n,t2kmp,v2kmp,t2sa,v2sa,t2fmi,v2fmi
10000,2.52414e+06,1.01343e+09,1.13340e+09,1.18482e+16,2.80058e+09,1.92538e+16
20000,2.79707e+06,1.19303e+09,1.07132e+09,2.55035e+16,2.79136e+09,2.09255e+16
30000,3.11700e+06,1.34987e+09,1.15193e+09,1.53223e+16,2.88106e+09,5.31974e+16
40000,4.57324e+06,3.91970e+13,1.11133e+09,1.12602e+16,2.84097e+09,5.45938e+16
50000,3.69629e+06,1.44196e+09,1.07690e+09,1.59908e+16,2.85737e+09,3.30804e+16
60000,3.97016e+06,1.90213e+09,1.13390e+09,8.46938e+15,2.89933e+09,4.17692e+16
70000,4.28630e+06,1.94477e+09,1.13875e+09,1.08582e+16,2.87789e+09,3.17991e+16
80000,4.56429e+06,1.65778e+09,1.14929e+09,9.63168e+15,2.86975e+09,3.16862e+16
90000,4.87977e+06,1.01615e+09,1.17089e+09,1.54450e+16,2.83328e+09,2.01885e+16
100000,5.41688e+06,1.86222e+12,9.68167e+08,2.51033e+16,2.89147e+09,3.20372e+16
