n,skmp,ssa,sfmi
10000,4004,40000,200050
20000,4004,80000,400050
30000,4004,120000,600050
40000,4004,160000,800050
50000,4004,200000,1000050
60000,4004,240000,1200050
70000,4004,280000,1400050
80000,4004,320000,1600050
90000,4004,360000,1800050
100000,4004,400000,2000050
