n,t1kmp,v1kmp,t2kmp,v2kmp,skmp,t1sa,v1sa,t2sa,v2sa,ssa,t1fmi,v1fmi,t2fmi,v2fmi,sfmi, 
10000,2.18092e+06,8.03062e+08,2.52414e+06,1.01343e+09,40004,4157.5,34118.7,1.1334e+09,1.18482e+16,400000,4.76676e+06,1.01827e+09,2.80058e+09,1.92538e+16,2000050
20000,2.08219e+06,9.77232e+08,2.79707e+06,1.19303e+09,80004,6619.73,1.29266e+06,1.07132e+09,2.55035e+16,400000,1.06768e+07,3.16496e+13,2.79136e+09,2.09255e+16,2000050
30000,2.03982e+06,8.22823e+08,3.117e+06,1.34987e+09,120004,10386.5,302069,1.15193e+09,1.53223e+16,400000,1.47811e+07,3.95208e+09,2.88106e+09,5.31974e+16,2000050
40000,1.97338e+06,8.59936e+08,4.57324e+06,3.9197e+13,160004,13663.7,1.04674e+06,1.11133e+09,1.12602e+16,400000,1.98877e+07,1.56373e+10,2.84097e+09,5.45938e+16,2000050
50000,4.17827e+06,3.38226e+13,3.69629e+06,1.44196e+09,200004,18252.1,2.56104e+06,1.0769e+09,1.59908e+16,400000,3.30305e+07,9.54416e+13,2.85737e+09,3.30804e+16,2000050
60000,1.84331e+06,7.83919e+08,3.97016e+06,1.90213e+09,240004,19745.4,4.32013e+06,1.1339e+09,8.46938e+15,400000,3.12224e+07,2.76569e+13,2.89933e+09,4.17692e+16,2000050
70000,1.79691e+06,5.08118e+08,4.2863e+06,1.94477e+09,280004,23639,2.94812e+06,1.13875e+09,1.08582e+16,400000,3.73553e+07,6.95374e+13,2.87789e+09,3.17991e+16,2000050
80000,1.72458e+06,7.39637e+08,4.56429e+06,1.65778e+09,320004,26992.4,4.44725e+06,1.14929e+09,9.63168e+15,400000,4.03764e+07,4.44344e+10,2.86975e+09,3.16862e+16,2000050
90000,1.67271e+06,5.70006e+08,4.87977e+06,1.01615e+09,360004,30752.7,7.94845e+06,1.17089e+09,1.5445e+16,400000,4.5521e+07,4.20953e+10,2.83328e+09,2.01885e+16,2000050
100000,1.61293e+06,6.73315e+08,5.41688e+06,1.86222e+12,400004,33693.8,6.12846e+06,9.68167e+08,2.51033e+16,400000,5.06554e+07,5.14441e+10,2.89147e+09,3.20372e+16,2000050
