n,t1kmp,v1kmp,t1sa,v1sa,t1fmi,v1fmi
10000,209015.0,14778200.0,1517.47,61163.2,472066.0,74779900.0
20000,439734.0,45561000.0,1730.57,97644.1,473099.0,75847900.0
30000,662633.0,127976000.0,1764.77,60468.6,471602.0,86806200.0
40000,891422.0,214465000.0,2103.0,3685.8,471424.0,67672000.0
50000,1027520.0,323144000.0,2489.1,53544.8,416084.0,61615300.0
60000,1341210.0,381311000.0,1952.67,3724.42,469346.0,78466100.0
70000,1554480.0,555600000.0,1991.9,4303.16,470194.0,90148300.0
80000,1773920.0,690399000.0,2073.07,5602.66,468560.0,84330200.0
90000,4006840.0,39173600000000.0,2065.6,4576.11,1536710.0,15930200000000.0
100000,2190630.0,1355300000.0,2730.87,624730.0,467519.0,183426000.0
