n,tInsert,vInsert,tRemove,vRemove,tUnion,vUnion 
100,301.267,1785.26,409.267,956.996,18413.2,23002.7
1000,379.5,775.183,526.867,1810.05,184038,2.24975e+06
10000,407.9,10701.6,575.467,13147.8,1.41924e+06,8.80553e+10
100000,492.8,2092.49,640.833,4577.54,1.1882e+07,8.93039e+09
1000000,1389.47,393055,1023.1,33061.1,1.19598e+08,7.08908e+11
10000000,2506.03,2.53236e+06,1447.63,36704.6,1.23615e+09,1.95634e+13
100000000,3854.5,4.45476e+06,1664.67,43634.6,1.23851e+10,2.25525e+14
